,t(fs),t(au),Field(t),Apot(t)
372,-4.785421193236259,-197.835884,0.0003375016455,-0.008828354252
373,-4.777801095625325,-197.5208587,0.0003301612257,-0.008933532219
374,-4.770180998014389,-197.2058334,0.0003223352181,-0.009036321535
375,-4.762560900403455,-196.8908081,0.0003140139814,-0.009136567708
376,-4.75494080279252,-196.5757828,0.0003051879554,-0.009234113221
377,-4.747320705181585,-196.2607575,0.0002958476696,-0.009328797556
378,-4.73970060757065,-195.9457322,0.0002859837533,-0.009420457232
379,-4.732080509959715,-195.6307069,0.0002755869439,-0.009508925829
380,-4.72446041234878,-195.3156816,0.0002646480973,-0.009594034029
381,-4.716840314737845,-195.0006563,0.0002531581972,-0.009675609652
382,-4.7092202171269095,-194.685631,0.0002411083648,-0.009753477701
383,-4.701600119515975,-194.3706057,0.0002284898689,-0.009827460403
384,-4.693980021905039,-194.0555804,0.0002152941361,-0.009897377261
