,t(fs),t(au),Field(t),Apot(t)
1282,2.148867478147867,88.83713261,-3.909999999121561e-09,-0.49370937130000003
1283,2.156487575516914,89.1521579,-3.799999998693737e-09,-0.49028729419999995
1284,2.1641076728859603,89.46718319,-3.629999998505662e-09,-0.48673770620000006
1285,2.171727770255007,89.78220848,-3.4000000002920583e-09,-0.4830633582
1286,2.179347867865942,90.09723378,-3.1500000004236473e-09,-0.47926702549999994
1287,2.1869679652349885,90.41225907,-2.8800000006351523e-09,-0.4753515051
1288,2.1945880626040353,90.72728436,-2.6000000000192536e-09,-0.4713196153
1289,2.2022081602149703,91.04230966,-2.3200000011380784e-09,-0.46717419309999997
1290,2.2098282575840167,91.35733495,-2.05999999870754e-09,-0.46291809390000005
1291,2.2174483549530635,91.67236024,-1.8000000014811723e-09,-0.45855418929999997
1292,2.22506845232211,91.98738553,-1.559999998970718e-09,-0.4540853658
1293,2.232688549933045,92.30241083,-1.3399999998497947e-09,-0.4495145237
1294,2.2403086473020912,92.61743612,-1.1400000006489552e-09,-0.44484457499999996
1295,2.247928744671138,92.93246141,-9.600000013681997e-10,-0.44007844220000003
1296,2.255548842282073,93.24748671,-8.000000002728047e-10,-0.43521905750000006
1297,2.2631689396511194,93.562512,-6.599999990974936e-10,-0.43026936050000003
1298,2.270789037020166,93.87753729,-5.3999999957699e-10,-0.4252322977
1299,2.278409134631101,94.19256259,-4.2999999741444306e-10,-0.4201108198
1300,2.2860292320001476,94.50758788,-3.499999977341073e-10,-0.41490788139999996
1301,2.293649329369194,94.82261317,-2.8000000235062217e-10,-0.40962643969999996
1302,2.3012694267382408,95.13763846,-2.099999965587962e-10,-0.40426945229999994
1303,2.3088895243491754,95.45266376,-1.7000000018807526e-10,-0.3988398765
1304,2.316509621718222,95.76768905,-1.3000000034790737e-10,-0.39334066770000004
1305,2.3241297190872685,96.08271434,-9.000000050773949e-11,-0.38777477790000003
1306,2.3317498166982036,96.39773964,-7.000000232237902e-11,-0.382145155
1307,2.3393699140672504,96.71276493,-6.000000149497531e-11,-0.3764547412
1308,2.3469900114362967,97.02779022,-3.999999984016789e-11,-0.3707064712
1309,2.354610108805343,97.34281551,-2.000000165480742e-11,-0.3649032717
1310,2.362230206416278,97.65784081,-2.000000165480742e-11,-0.3590480597
1311,2.369850303785325,97.9728661,-1.000000082740371e-11,-0.3531437414
1312,2.3774704011543712,98.28789139,0.0,-0.3471932112
1313,2.3850904987653063,98.60291669,-1.000000082740371e-11,-0.34119935
1314,2.3927105961343527,98.91794198,0.0,-0.3351650245
1315,2.4003306935033994,99.23296727,0.0,-0.3290930858
1316,2.407950790872446,99.54799256,0.0,-0.3229863683
1317,2.415570888483381,99.86301786,-1.000000082740371e-11,-0.3168476886
1318,2.42319098706187,100.1780432,0.0,-0.3106798445
1319,2.4308110822539204,100.4930684,0.0,-0.3044856136
1320,2.4384311798648555,100.8080937,0.0,-0.2982677526
1321,2.4460512774757905,101.123119,0.0,-0.2920289962
1322,2.4536713750867256,101.4381443,0.0,-0.2857720558
1323,2.4612914726976607,101.7531696,0.0,-0.2794996188
1324,2.4689115703085953,102.0681949,0.0,-0.2732143475
1325,2.4765316679195304,102.3832202,0.0,-0.2669188782
1326,2.4841517655304655,102.6982455,0.0,-0.2606158203
1327,2.4917718631414,103.0132708,0.0,-0.2543077553
1328,2.499391960752335,103.3282961,0.0,-0.2479972359
1329,2.5070120583632702,103.6433214,0.0,-0.2416867852
1330,2.5146321559742053,103.9583467,0.0,-0.2353788961
1331,2.52225225358514,104.273372,0.0,-0.2290760299
1332,2.529872351196075,104.5883973,0.0,-0.2227806161
1333,2.537492446388126,104.9034225,0.0,-0.2164950514
1334,2.545112543999061,105.2184478,0.0,-0.2102216989
1335,2.5527326416099956,105.5334731,0.0,-0.2039628874
1336,2.5603527392209307,105.8484984,0.0,-0.1977209109
1337,2.5679728368318657,106.1635237,0.0,-0.1914980276
1338,2.575592934442801,106.478549,0.0,-0.1852964598
1339,2.583213032053736,106.7935743,0.0,-0.1791183925
1340,2.590833129664671,107.1085996,0.0,-0.1729659735
1341,2.5984532272756056,107.4236249,0.0,-0.1668413126
1342,2.6060733248865406,107.7386502,0.0,-0.160746481
1343,2.6136934224974757,108.0536755,0.0,-0.1546835107
1344,2.621313520108411,108.3687008,0.0,-0.1486543943
1345,2.628933617719346,108.6837261,0.0,-0.1426610843
1346,2.636553715330281,108.9987514,0.0,-0.1367054928
1347,2.6441738105223314,109.3137766,0.0,-0.1307894909
1348,2.6517939081332664,109.6288019,0.0,-0.1249149085
1349,2.6594140057442015,109.9438272,0.0,-0.1190835338
1350,2.667034103355136,110.2588525,0.0,-0.113297113
1351,2.674654200966071,110.5738778,0.0,-0.1075573503
1352,2.682274298577006,110.8889031,0.0,-0.1018659069
1353,2.689894396187941,111.2039284,0.0,-0.09622440137
1354,2.697514493798876,111.5189537,0.0,-0.09063440916
1355,2.705134591409811,111.833979,0.0,-0.08509746238
1356,2.712754689020746,112.1490043,0.0,-0.07961504968
1357,2.720374786631681,112.4640296,0.0,-0.074188616
1358,2.7279948842426163,112.7790549,0.0,-0.0688195625
1359,2.735614981853551,113.0940802,0.0,-0.06350924637
1360,2.743235079464486,113.4091055,0.0,-0.05825898079
1361,2.750855174656537,113.7241307,0.0,-0.05307003483
1362,2.758475272267472,114.039156,0.0,-0.0479436334
1363,2.7660953698784065,114.3541813,0.0,-0.04288095722
1364,2.7737154674893416,114.6692066,0.0,-0.03788314283
1365,2.7813355651002767,114.9842319,0.0,-0.0329512826
1366,2.7889556627112118,115.2992572,0.0,-0.02808642474
1367,2.796575760322147,115.6142825,0.0,-0.02328957343
1368,2.804195857933082,115.9293078,0.0,-0.01856168881
1369,2.811815955544017,116.2443331,0.0,-0.01390368719
1370,2.8194360531549516,116.5593584,0.0,-0.009316441071
1371,2.8270561507658867,116.8743837,0.0,-0.004800779377
1372,2.8346762483768213,117.189409,0.0,-0.0003574875685
1373,2.8422963459877564,117.5044343,0.0,0.00401269215
1374,2.8499164435986915,117.8194596,0.0,0.008309060627
1375,2.857536538790742,118.1344848,0.0,0.01253096154
1376,2.865156636401677,118.4495101,0.0,0.01667778114
