,t_au,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,Field_8,Field_9,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_16,Field_17,Field_18
5819,454.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5820,455.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5821,455.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5822,455.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5823,455.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5824,456.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5825,456.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5826,456.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5827,456.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5828,457.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5829,457.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5830,457.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5831,457.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5832,458.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5833,458.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5834,458.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5835,458.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5836,459.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5837,459.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5838,459.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5839,459.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5840,460.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5841,460.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5842,460.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5843,460.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5844,461.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5845,461.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5846,461.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5847,461.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5848,462.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5849,462.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5850,462.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5851,462.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5852,463.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5853,463.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5854,463.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5855,463.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5856,464.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5857,464.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5858,464.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5859,464.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5860,465.0,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5861,465.25,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5862,465.5,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
5863,465.75,9.008693714e-21,2.414621841e-95,4.879987311e-21,3.515107126e-21,1.27548104e-93,1.27080445e-98,1.184180772e-21,7.905831744e-22,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99,3.834453798e-99
